display_name,round,first_name,last_name,player_name
PEDBreakfast,1,Justin,Jefferson,justin jefferson
PEDBreakfast,2,Saquon,Barkley,saquon barkley
PEDBreakfast,3,Keenan,Allen,keenan allen
PEDBreakfast,9,Christian,Kirk,christian kirk
PEDBreakfast,10,Jalen,Hurts,jalen hurts
PEDBreakfast,12,Justin,Tucker,justin tucker
poopony,1,Jonathan,Taylor,jonathan taylor
poopony,2,Michael,Pittman,michael pittman
poopony,3,Ezekiel,Elliott,ezekiel elliott
poopony,6,Dameon,Pierce,dameon pierce
poopony,8,Dallas,Goedert,dallas goedert
poopony,9,Brandon,Aiyuk,brandon aiyuk
poopony,11,Brian,Robinson,brian robinson
RustyTrombone,1,Dalvin,Cook,dalvin cook
RustyTrombone,2,Aaron,Jones,aaron jones
RustyTrombone,3,Stefon,Diggs,stefon diggs
RustyTrombone,4,Mike,Williams,mike williams
RustyTrombone,6,Dawson,Knox,dawson knox
RustyTrombone,9,Cordarrelle,Patterson,cordarrelle patterson
RustyTrombone,12,Baltimore,Ravens,baltimore ravens
RustyTrombone,15,Tyler,Allgeier,tyler allgeier
CanadianClem,1,Austin,Ekeler,austin ekeler
CanadianClem,2,Josh,Allen,josh allen
CanadianClem,3,Mark,Andrews,mark andrews
CanadianClem,5,Diontae,Johnson,diontae johnson
CanadianClem,6,Amari,Cooper,amari cooper
CanadianClem,7,JuJu,Smith-Schuster,juju smith-schuster
CanadianClem,9,Leonard,Fournette,leonard fournette
CanadianClem,10,DeAndre,Hopkins,deandre hopkins
KuroTheDrunk,1,Najee,Harris,najee harris
KuroTheDrunk,3,Justin,Herbert,justin herbert
KuroTheDrunk,4,Cooper,Kupp,cooper kupp
KuroTheDrunk,5,DK,Metcalf,dk metcalf
KuroTheDrunk,6,T.J.,Hockenson,t.j. hockenson
KuroTheDrunk,7,Antonio,Gibson,antonio gibson
KuroTheDrunk,8,Darnell,Mooney,darnell mooney
KuroTheDrunk,9,Kareem,Hunt,kareem hunt
KuroTheDrunk,10,Melvin,Gordon,melvin gordon
KuroTheDrunk,11,Dak,Prescott,dak prescott
KuroTheDrunk,13,Julio,Jones,julio jones
KuroTheDrunk,16,Tyler,Boyd,tyler boyd
TheDoofWagon,1,Joe,Mixon,joe mixon
TheDoofWagon,2,Nick,Chubb,nick chubb
TheDoofWagon,3,Patrick,Mahomes,patrick mahomes
TheDoofWagon,4,Terry,McLaurin,terry mclaurin
TheDoofWagon,5,Marquise,Brown,marquise brown
TheDoofWagon,6,Dalton,Schultz,dalton schultz
TheDoofWagon,7,Chris,Godwin,chris godwin
TheDoofWagon,8,Damien,Harris,damien harris
TheDoofWagon,12,Jaylen,Waddle,jaylen waddle
TEXAS_RANGER,1,Christian,McCaffrey,christian mccaffrey
TEXAS_RANGER,2,Mike,Evans,mike evans
TEXAS_RANGER,5,Lamar,Jackson,lamar jackson
TEXAS_RANGER,6,Gabe,Davis,gabe davis
TEXAS_RANGER,7,Ja'Marr,Chase,ja'marr chase
TEXAS_RANGER,8,Kenneth,Walker,kenneth walker
TEXAS_RANGER,9,Rhamondre,Stevenson,rhamondre stevenson
TEXAS_RANGER,10,Chris,Olave,chris olave
TEXAS_RANGER,11,Pat,Freiermuth,pat freiermuth
TEXAS_RANGER,14,Michael,Carter,michael carter
Natticus,1,Derrick,Henry,derrick henry
Natticus,2,Tyreek,Hill,tyreek hill
Natticus,3,A.J.,Brown,a.j. brown
Natticus,4,D'Andre,Swift,d'andre swift
Natticus,5,Josh,Jacobs,josh jacobs
Natticus,6,Darren,Waller,darren waller
Natticus,8,Allen,Lazard,allen lazard
Natticus,9,DeVonta,Smith,devonta smith
Natticus,11,Tyler,Lockett,tyler lockett
Natticus,14,Jameson,Williams,jameson williams
AnalRailGun,1,Alvin,Kamara,alvin kamara
AnalRailGun,3,David,Montgomery,david montgomery
AnalRailGun,4,Tee,Higgins,tee higgins
AnalRailGun,6,AJ,Dillon,aj dillon
AnalRailGun,7,Michael,Thomas,michael thomas
AnalRailGun,9,Miles,Sanders,miles sanders
AnalRailGun,10,Deebo,Samuel,deebo samuel
THIGHxMASTER,1,Davante,Adams,davante adams
THIGHxMASTER,2,CeeDee,Lamb,ceedee lamb
THIGHxMASTER,3,George,Kittle,george kittle
THIGHxMASTER,4,Travis,Etienne,travis etienne
THIGHxMASTER,5,Jerry,Jeudy,jerry jeudy
THIGHxMASTER,6,Joe,Burrow,joe burrow
THIGHxMASTER,7,Amon-Ra,St. Brown,amon-ra st. brown
THIGHxMASTER,9,Devin,Singletary,devin singletary
THIGHxMASTER,10,James,Conner,james conner
