display_name,round,first_name,last_name,player_name
PEDBreakfast,1,Puka,Nacua,puka nacua
PEDBreakfast,3,Patrick,Mahomes,patrick mahomes
PEDBreakfast,4,Trey,McBride,trey mcbride
PEDBreakfast,5,Malik,Nabers,malik nabers
PEDBreakfast,6,Rhamondre,Stevenson,rhamondre stevenson
PEDBreakfast,7,Najee,Harris,najee harris
PEDBreakfast,12,Chase,Brown,chase brown
PEDBreakfast,14,Rashee,Rice,rashee rice
poopony,1,Christian,McCaffrey,christian mccaffrey
poopony,2,Kyren,Williams,kyren williams
poopony,3,Nico,Collins,nico collins
poopony,4,Jalen,Hurts,jalen hurts
poopony,5,DeVonta,Smith,devonta smith
poopony,6,George,Pickens,george pickens
poopony,7,Evan,Engram,evan engram
poopony,8,Calvin,Ridley,calvin ridley
poopony,9,Brian,Robinson,brian robinson
poopony,15,Pittsburgh,Steelers,pittsburgh steelers
poopony,16,Tyler,Bass,tyler bass
RustyTrombone,1,A.J.,Brown,a.j. brown
RustyTrombone,2,Drake,London,drake london
RustyTrombone,3,Breece,Hall,breece hall
RustyTrombone,5,D'Andre,Swift,d'andre swift
RustyTrombone,8,Jake,Ferguson,jake ferguson
RustyTrombone,9,Ladd,McConkey,ladd mcconkey
RustyTrombone,11,Keon,Coleman,keon coleman
RustyTrombone,15,J.K.,Dobbins,j.k. dobbins
CanadianClem,1,Saquon,Barkley,saquon barkley
CanadianClem,2,Marvin,Harrison,marvin harrison
CanadianClem,4,James,Cook,james cook
CanadianClem,7,Michael,Pittman,michael pittman
CanadianClem,9,Zay,Flowers,zay flowers
KuroTheCoach,1,Ja'Marr,Chase,ja'marr chase
KuroTheCoach,2,Isiah,Pacheco,isiah pacheco
KuroTheCoach,3,Rachaad,White,rachaad white
KuroTheCoach,4,Lamar,Jackson,lamar jackson
KuroTheCoach,5,Amari,Cooper,amari cooper
KuroTheCoach,6,George,Kittle,george kittle
KuroTheCoach,7,Keenan,Allen,keenan allen
KuroTheCoach,8,Rome,Odunze,rome odunze
KuroTheCoach,11,Tyjae,Spears,tyjae spears
KuroTheCoach,12,Justin,Herbert,justin herbert
KuroTheCoach,13,Baltimore,Ravens,baltimore ravens
HorseBlood,1,Justin,Jefferson,justin jefferson
HorseBlood,2,Josh,Jacobs,josh jacobs
HorseBlood,3,Jonathan,Taylor,jonathan taylor
HorseBlood,4,Mike,Evans,mike evans
HorseBlood,5,DJ,Moore,dj moore
HorseBlood,6,Joe,Burrow,joe burrow
HorseBlood,7,James,Conner,james conner
HorseBlood,8,Xavier,Worthy,xavier worthy
HorseBlood,9,David,Njoku,david njoku
HorseBlood,10,Jordan,Addison,jordan addison
HorseBlood,14,Brandon,Aubrey,brandon aubrey
LIVE_LAUGH_OLAVE,1,Bijan,Robinson,bijan robinson
LIVE_LAUGH_OLAVE,2,Josh,Allen,josh allen
LIVE_LAUGH_OLAVE,3,Jahmyr,Gibbs,jahmyr gibbs
LIVE_LAUGH_OLAVE,5,DK,Metcalf,dk metcalf
LIVE_LAUGH_OLAVE,6,Kyle,Pitts,kyle pitts
LIVE_LAUGH_OLAVE,7,Tee,Higgins,tee higgins
LIVE_LAUGH_OLAVE,8,Brian,Thomas,brian thomas
LIVE_LAUGH_OLAVE,9,Brock,Bowers,brock bowers
LIVE_LAUGH_OLAVE,15,Tyrone,Tracy,tyrone tracy
Natticus,1,Garrett,Wilson,garrett wilson
Natticus,2,Derrick,Henry,derrick henry
Natticus,3,Davante,Adams,davante adams
Natticus,4,Kenneth,Walker,kenneth walker
Natticus,5,Cooper,Kupp,cooper kupp
Natticus,6,Aaron,Jones,aaron jones
Natticus,8,Jayden,Reed,jayden reed
Natticus,14,Sam,LaPorta,sam laporta
AnalRailGun,1,CeeDee,Lamb,ceedee lamb
AnalRailGun,2,Chris,Olave,chris olave
AnalRailGun,3,Travis,Kelce,travis kelce
AnalRailGun,4,Joe,Mixon,joe mixon
AnalRailGun,5,Alvin,Kamara,alvin kamara
AnalRailGun,6,Kyler,Murray,kyler murray
AnalRailGun,7,Deebo,Samuel,deebo samuel
AnalRailGun,8,Terry,McLaurin,terry mclaurin
AnalRailGun,11,Jayden,Daniels,jayden daniels
AnalRailGun,13,T.J.,Hockenson,t.j. hockenson
AnalRailGun,16,Khalil,Shakir,khalil shakir
THIGHxMASTER,1,Tyreek,Hill,tyreek hill
THIGHxMASTER,2,De'Von,Achane,de'von achane
THIGHxMASTER,3,David,Montgomery,david montgomery
THIGHxMASTER,4,Mark,Andrews,mark andrews
THIGHxMASTER,5,Amon-Ra,St. Brown,amon-ra st. brown
THIGHxMASTER,6,Tank,Dell,tank dell
THIGHxMASTER,7,Tony,Pollard,tony pollard
THIGHxMASTER,8,Javonte,Williams,javonte williams
THIGHxMASTER,9,Jameson,Williams,jameson williams
THIGHxMASTER,11,Jared,Goff,jared goff
THIGHxMASTER,12,Rico,Dowdle,rico dowdle
THIGHxMASTER,13,Romeo,Doubs,romeo doubs
