display_name,round,first_name,last_name,player_name
PEDBreakfast,1,Bijan,Robinson,bijan robinson
PEDBreakfast,2,A.J.,Brown,a.j. brown
PEDBreakfast,3,Aaron,Jones,aaron jones
PEDBreakfast,4,Kenneth,Walker,kenneth walker
PEDBreakfast,5,DJ,Moore,dj moore
PEDBreakfast,8,Jalen,Hurts,jalen hurts
PEDBreakfast,9,James,Cook,james cook
PEDBreakfast,14,Rashee,Rice,rashee rice
poopony,1,Christian,McCaffrey,christian mccaffrey
poopony,2,Tee,Higgins,tee higgins
poopony,3,Rhamondre,Stevenson,rhamondre stevenson
poopony,4,Keenan,Allen,keenan allen
poopony,5,Tyler,Lockett,tyler lockett
poopony,6,Dameon,Pierce,dameon pierce
poopony,7,Trevor,Lawrence,trevor lawrence
poopony,8,Diontae,Johnson,diontae johnson
poopony,10,Gabe,Davis,gabe davis
poopony,12,Dallas,Cowboys,dallas cowboys
poopony,14,Younghoe,Koo,younghoe koo
RustyTrombone,1,Stefon,Diggs,stefon diggs
RustyTrombone,2,Garrett,Wilson,garrett wilson
RustyTrombone,3,Breece,Hall,breece hall
RustyTrombone,4,George,Kittle,george kittle
RustyTrombone,5,DeAndre,Hopkins,deandre hopkins
RustyTrombone,9,AJ,Dillon,aj dillon
RustyTrombone,11,Quentin,Johnston,quentin johnston
RustyTrombone,14,Buffalo,Bills,buffalo bills
CanadianClem,1,Justin,Jefferson,justin jefferson
CanadianClem,2,Josh,Allen,josh allen
CanadianClem,4,Amari,Cooper,amari cooper
CanadianClem,7,Alvin,Kamara,alvin kamara
CanadianClem,8,Tony,Pollard,tony pollard
CanadianClem,9,Zay,Flowers,zay flowers
CanadianClem,10,Raheem,Mostert,raheem mostert
KuroTheCoach,1,Ja'Marr,Chase,ja'marr chase
KuroTheCoach,2,Cooper,Kupp,cooper kupp
KuroTheCoach,3,Travis,Etienne,travis etienne
KuroTheCoach,6,Javonte,Williams,javonte williams
KuroTheCoach,7,Chris,Godwin,chris godwin
KuroTheCoach,8,Isiah,Pacheco,isiah pacheco
KuroTheCoach,9,Michael,Pittman,michael pittman
KuroTheCoach,11,Dak,Prescott,dak prescott
KuroTheCoach,13,Odell,Beckham,odell beckham
TheDoofWagon,1,Austin,Ekeler,austin ekeler
TheDoofWagon,2,Davante,Adams,davante adams
TheDoofWagon,3,Jonathan,Taylor,jonathan taylor
TheDoofWagon,6,D'Andre,Swift,d'andre swift
TheDoofWagon,7,Christian,Kirk,christian kirk
TheDoofWagon,8,Evan,Engram,evan engram
TheDoofWagon,9,Jaxon,Smith-Njigba,jaxon smith-njigba
TheDoofWagon,10,Jaylen,Waddle,jaylen waddle
TheDoofWagon,11,Tua,Tagovailoa,tua tagovailoa
LIVE_LAUGH_OLAVE,1,Travis,Kelce,travis kelce
LIVE_LAUGH_OLAVE,2,Najee,Harris,najee harris
LIVE_LAUGH_OLAVE,3,Jahmyr,Gibbs,jahmyr gibbs
LIVE_LAUGH_OLAVE,5,Drake,London,drake london
LIVE_LAUGH_OLAVE,6,Brandon,Aiyuk,brandon aiyuk
LIVE_LAUGH_OLAVE,9,Jordan,Addison,jordan addison
LIVE_LAUGH_OLAVE,10,Chris,Olave,chris olave
LIVE_LAUGH_OLAVE,11,Brian,Robinson,brian robinson
LIVE_LAUGH_OLAVE,12,San Francisco,49ers,san francisco 49ers
LIVE_LAUGH_OLAVE,15,Anthony,Richardson,anthony richardson
LIVE_LAUGH_OLAVE,16,Jaylen,Warren,jaylen warren
Natticus,1,Tyreek,Hill,tyreek hill
Natticus,2,Patrick,Mahomes,patrick mahomes
Natticus,3,Joe,Mixon,joe mixon
Natticus,4,Calvin,Ridley,calvin ridley
Natticus,5,Josh,Jacobs,josh jacobs
Natticus,6,Dallas,Goedert,dallas goedert
Natticus,7,Mike,Evans,mike evans
Natticus,14,Sam,LaPorta,sam laporta
Natticus,16,Pittsburgh,Steelers,pittsburgh steelers
AnalRailGun,1,Saquon,Barkley,saquon barkley
AnalRailGun,2,CeeDee,Lamb,ceedee lamb
AnalRailGun,3,DeVonta,Smith,devonta smith
AnalRailGun,4,Lamar,Jackson,lamar jackson
AnalRailGun,6,Christian,Watson,christian watson
AnalRailGun,7,Rachaad,White,rachaad white
AnalRailGun,8,Deebo,Samuel,deebo samuel
AnalRailGun,10,Khalil,Herbert,khalil herbert
AnalRailGun,11,Courtland,Sutton,courtland sutton
THIGHxMASTER,2,Derrick,Henry,derrick henry
THIGHxMASTER,3,DK,Metcalf,dk metcalf
THIGHxMASTER,4,T.J.,Hockenson,t.j. hockenson
THIGHxMASTER,5,Terry,McLaurin,terry mclaurin
THIGHxMASTER,6,James,Conner,james conner
THIGHxMASTER,7,Amon-Ra,St. Brown,amon-ra st. brown
THIGHxMASTER,8,David,Montgomery,david montgomery
THIGHxMASTER,10,Michael,Thomas,michael thomas
THIGHxMASTER,11,Jameson,Williams,jameson williams
THIGHxMASTER,15,Jared,Goff,jared goff
